107	[(0, 0.021957440856115996), (1, 0.021274623656389602), (2, 0.017997705053579494), (3, 0.019142354532641119), (4, 0.018826369718037139), (5, 0.021065583264455207), (6, 0.022993067693701175), (7, 0.018787889862819977), (8, 0.026524329707127384), (9, 0.021429092063970194), (10, 0.017468002102374647), (11, 0.020398368716018633), (12, 0.020850513051615414), (13, 0.020807609443950804), (14, 0.020634997723569453), (15, 0.01834305022099195), (16, 0.019455422577990624), (17, 0.018126920935835719), (18, 0.020019154298357773), (19, 0.018693900695380891), (20, 0.015905160708995929), (21, 0.018961779790428679), (22, 0.019598766621012769), (23, 0.02005205526893155), (24, 0.018733357051470986), (25, 0.020162744926504144), (26, 0.017881602495321787), (27, 0.017260711453904669), (28, 0.01818285756261619), (29, 0.018349463216915107), (30, 0.021705897047440824), (31, 0.017760360146530201), (32, 0.023538321963804738), (33, 0.018168553986284721), (34, 0.017440785904908305), (35, 0.021572037021719167), (36, 0.018046236846135433), (37, 0.018658282625581789), (38, 0.031391244161185002), (39, 0.019905960213626825), (40, 0.018264345828743884), (41, 0.019140836734849519), (42, 0.016867615085447932), (43, 0.022972903186233833), (44, 0.02105458506568576), (45, 0.02077108851993963), (46, 0.020198468760029339), (47, 0.018951473287798323), (48, 0.018236785947630178), (49, 0.025469322395399594)]
108	[(3, 0.20237696529929067), (11, 0.23287871552139366), (15, 0.028659909630712726), (19, 0.49626768925850695), (28, 0.020869713839365037)]
109	[(12, 0.6139402682855859), (27, 0.038557238241552265), (34, 0.011446589280719644), (39, 0.025978976478337495), (40, 0.010255151660062713), (48, 0.016999676113662134), (49, 0.26293466751181654)]
110	[(6, 0.021826947546010667), (8, 0.070693808073907197), (9, 0.011265584914982014), (12, 0.013569167347640926), (25, 0.36056870771596283), (37, 0.11127751503204639), (44, 0.0265802857842188), (45, 0.35904329095149856)]
111	[(5, 0.094902757997031864), (9, 0.04605797758687942), (12, 0.20453156841526648), (14, 0.048786683589287429), (16, 0.22739036158405707), (20, 0.032256381373441841), (27, 0.041889279750625646), (46, 0.096209166864116583), (48, 0.045866700340048042), (49, 0.14179339266828064)]
112	[(6, 0.81204080686962821)]
113	[(22, 0.017056639755267843), (38, 0.091350129906008201), (49, 0.88344284767502979)]
114	[(0, 0.12318616233673171), (5, 0.027206974044506182), (7, 0.19812471086687997), (14, 0.013443200373307479), (16, 0.040804008682626604), (18, 0.063115222602000184), (23, 0.035346866911358375), (38, 0.13188910167729856), (43, 0.059353613525778205), (49, 0.30319165402777237)]
115	[(0, 0.29440297266775772), (9, 0.070585989504619195), (12, 0.58280476909636869), (22, 0.038900269866150465)]
116	[(12, 0.65926697245082), (32, 0.046038792522006225), (42, 0.051614121832327567), (44, 0.22362836441568629)]
